ID,Severity,date/time,Start_Time,End_Time,lat,lon,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-14,2,2/8/2016 17:30,2/8/2016 17:30,2/8/2016 23:30,39.582242,-83.677814,39.603013,-83.637319,2.59,Between OH-72/Exit 58 and US-35/Exit 65 - Accident.,,I-71 N,R,Jamestown,Greene,OH,45335,US,US/Eastern,KSGH,2/8/2016 17:28,33.8,28.6,93,29.64,1,West,5.8,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-15,3,2/8/2016 18:11,2/8/2016 18:11,2/9/2016 0:11,40.151785,-81.312635,40.151747,-81.312682,0.004,At Shipley Rd - Accident.,48999, Titus Rd,R,Freeport,Guernsey,OH,43973,US,US/Eastern,KPHD,2/8/2016 18:23,33.1,,92,29.62,10,Calm,,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-16,3,2/8/2016 18:11,2/8/2016 18:11,2/9/2016 0:11,40.151747,-81.312682,40.151785,-81.312635,0.004,At Titus Rd - Accident.,22549, Cadiz Rd,L,Freeport,Harrison,OH,43973-8626,US,US/Eastern,KPHD,2/8/2016 18:23,33.1,,92,29.62,10,Calm,,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-17,3,2/8/2016 19:47,2/8/2016 19:47,2/9/2016 1:47,39.97241,-82.84695,39.98529,-82.85667,1.028,At OH-16/Broad St/Exit 39 - Accident.,,Outerbelt N,R,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,2/8/2016 19:51,34,,100,29.65,6,Calm,,0.07,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-18,2,2/8/2016 19:47,2/8/2016 19:47,2/9/2016 1:47,39.9838,-82.85657,39.9725,-82.84746,0.918,At I-270 - Accident.,,Outerbelt S,R,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,2/8/2016 19:51,34,,100,29.65,6,Calm,,0.07,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-19,3,2/8/2016 20:13,2/8/2016 20:13,2/9/2016 2:13,40.02664,-82.9944,40.01228,-82.99218,0.999,Between Weber Rd/Exit 113 and Hudson St/Exit 112 - Accident.,,North Fwy S,R,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,2/8/2016 20:12,33.8,27,100,29.63,1,West,8.1,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-20,4,2/8/2016 21:00,2/8/2016 21:00,2/9/2016 3:00,41.679361,-83.573037,41.666124,-83.566335,0.978,Closed between I-475/Exit 204 and US-24/Detroit Ave/Exit 203 - Road closed due to accident.,,I-75 S,R,Toledo,Lucas,OH,43610,US,US/Eastern,KDUH,2/8/2016 20:55,33.4,26.6,79,29.62,10,West,8.1,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-21,2,2/8/2016 21:10,2/8/2016 21:10,2/9/2016 3:10,40.99613,-85.26613,40.98982,-85.26986,0.477,At Fort Wayne - Accident.,,US-33 S,R,Roanoke,Allen,IN,46783,US,US/Eastern,KFWA,2/8/2016 20:54,28,16.1,88,29.71,8,West,16.1,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-22,3,2/8/2016 21:30,2/8/2016 21:30,2/9/2016 3:30,39.0381,-84.59243,39.03475,-84.60007,0.471,At I-275/Exit 185 - Accident.,,I-75 S,R,Ft Mitchell,Kenton,KY,41017,US,US/Eastern,KCVG,2/8/2016 21:15,26.6,15.2,80,29.73,3,West,13.8,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-23,2,2/9/2016 5:54,2/9/2016 5:54,2/9/2016 11:54,40.03386,-82.99601,40.02246,-82.99515,0.789,Between Broadway/Exit 114 and Weber Rd/Exit 113 - Accident.,,North Fwy N,R,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,2/9/2016 5:51,25,15.5,88,29.65,1,SW,9.2,0.02,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-24,2,2/9/2016 6:10,2/9/2016 6:10,2/9/2016 12:10,39.85798,-84.28181,39.86441,-84.21554,3.543,Between OH-48/Exit 29 and Dayton Intl Airport Rd/Exit 32 - Accident.,,I-70 E,R,Dayton,Montgomery,OH,45415,US,US/Eastern,KDAY,2/9/2016 6:03,23,10.1,88,29.66,2,West,15,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-25,2,2/9/2016 6:46,2/9/2016 6:46,2/9/2016 12:46,39.15267,-84.5395,39.14745,-84.53923,0.361,At I-74/US-52/US-27/Exit 4 - Accident.,,I-75 S,R,Cincinnati,Hamilton,OH,45223,US,US/Eastern,KLUK,2/9/2016 6:53,21,9.3,88,29.78,1.5,WSW,11.5,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-26,2,2/9/2016 7:18,2/9/2016 7:18,2/9/2016 13:18,39.30732,-85.95982,39.30457,-85.96284,0.249,At US-31/Exit 76 - Accident.,,I-65 S,R,Edinburgh,Bartholomew,IN,46124,US,US/Eastern,K1II,2/9/2016 6:50,19,9,100,29.05,2,W,9,,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-27,4,2/9/2016 7:28,2/9/2016 7:28,2/9/2016 13:28,39.77572,-84.04815,39.76485,-84.09274,2.484,Closed between OH-844/Fairfield Rd/Exit 17 and Colonel Glenn Hwy/Exit 15 - Road closed due to accident.,,I-675 S,R,Fairborn,Greene,OH,45324,US,US/Eastern,KFFO,2/9/2016 7:08,23,12.4,86,29.68,1.5,SW,10.4,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-28,2,2/9/2016 7:25,2/9/2016 7:25,2/9/2016 13:25,39.97643,-83.12306,39.97609,-83.11068,0.656,At I-270/Exit 93 - Accident.,,I-70 E,R,Columbus,Franklin,OH,43228,US,US/Eastern,KTZR,2/9/2016 7:20,21.2,8.3,93,29.66,1.5,WSW,13.8,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-29,3,2/9/2016 7:44,2/9/2016 7:44,2/9/2016 13:44,39.58595,-85.82518,39.58444,-85.82301,0.156,At Fairland Rd/400/Exit 109 - Accident.,,US-421 S,R,Shelbyville,Shelby,IN,46176,US,US/Eastern,KGEZ,2/9/2016 7:41,21.9,9.8,82,29.75,1.5,West,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-30,3,2/9/2016 7:48,2/9/2016 7:48,2/9/2016 13:48,39.3638,-85.51659,39.45279,-85.628,8.554,Between US-421/Exit 132 and US-421/Exit 123 - Accident.,,I-74 W,R,Greensburg,Decatur,IN,47240,US,US/Eastern,KBAK,2/9/2016 6:50,19.4,8.6,100,29.78,2,West,9.2,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-31,3,2/9/2016 7:48,2/9/2016 7:48,2/9/2016 13:48,39.45132,-85.62516,39.36277,-85.51655,8.429,Between US-421/Exit 123 and US-421/Exit 132 - Accident.,,US-421 S,R,Saint Paul,Decatur,IN,47272,US,US/Eastern,KGEZ,2/9/2016 7:48,21.2,8.9,86,29.75,3,West,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-32,2,2/9/2016 8:00,2/9/2016 8:00,2/9/2016 14:00,39.75067,-84.14148,39.74883,-84.13402,0.416,At Smithville Rd - Accident.,,US-35 E,R,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,2/9/2016 7:58,22.5,12.4,90,29.73,1.2,SW,9.2,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-33,3,2/9/2016 8:02,2/9/2016 8:02,2/9/2016 14:02,39.2675,-81.49929,39.26867,-81.49909,0.082,At US-50/Exit 176 - Accident.,,US-50 E,R,Parkersburg,Wood,WV,26104,US,US/Eastern,KPKB,2/9/2016 7:53,24.1,13.7,88,29.72,1,WSW,10.4,0.02,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-34,2,2/9/2016 8:18,2/9/2016 8:18,2/9/2016 14:18,39.86025,-85.96623,39.86025,-85.96623,0,At High Timber Dr - Accident.,5800, Long Lake Ln,L,Indianapolis,Marion,IN,46235-6127,US,US/Eastern,KMQJ,2/9/2016 8:14,19.4,5,86,29.76,5,WNW,16.1,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-35,2,2/9/2016 9:07,2/9/2016 9:07,2/9/2016 15:07,41.95677,-83.67214,41.95939,-83.67235,0.181,At M-50/Exit 17 - Accident.,,US-23 N,R,Dundee,Monroe,MI,48131,US,US/Eastern,KTTF,2/9/2016 9:14,30.2,22.6,93,29.58,1.2,West,8.1,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-36,3,2/9/2016 10:07,2/9/2016 10:07,2/9/2016 16:07,38.27401,-85.74844,38.28558,-85.75518,0.879,Between US-31/IN-62 and Stansifer Ave/Exit 1 - Accident.,,I-65 S,R,Jeffersonville,Clark,IN,47130,US,US/Eastern,KLOU,2/9/2016 9:53,23,11.1,74,29.87,10,West,12.7,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-37,2,2/9/2016 11:09,2/9/2016 11:09,2/9/2016 17:09,41.95677,-83.67214,41.95939,-83.67235,0.181,At M-50/Exit 17 - Accident.,,US-23 N,R,Dundee,Monroe,MI,48131,US,US/Eastern,KTTF,2/9/2016 11:15,31.8,22.3,84,29.6,2.5,WNW,12.7,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-38,2,2/9/2016 11:28,2/9/2016 11:28,2/9/2016 17:28,40.52225,-80.06666,40.5283,-80.07188,0.5,At Camp Horne Rd/Exit 15 - Accident.,,I-279 N,R,Pittsburgh,Allegheny,PA,15237,US,US/Eastern,KPIT,2/9/2016 11:12,30,20,88,29.56,1.5,West,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-39,2,2/9/2016 12:31,2/9/2016 12:31,2/9/2016 18:31,40.487814,-80.009439,40.48614,-80.009008,0.118,At Venture St/Exit 10 - Accident.,,US-19 Trk S,R,Pittsburgh,Allegheny,PA,15214,US,US/Eastern,KAGC,2/9/2016 12:53,28.9,18.2,82,29.61,1,SW,13.8,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-40,4,2/9/2016 15:33,2/9/2016 15:33,2/9/2016 21:33,40.156298,-83.018431,40.153321,-83.018205,0.206,Closed at Gold Meadow Dr - Road closed due to accident.,9219, Columbus Pike,L,Lewis Center,Delaware,OH,43035-9415,US,US/Eastern,KDLZ,2/9/2016 15:36,26.6,16.8,86,29.68,2,West,10.4,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-41,2,2/9/2016 17:12,2/9/2016 17:12,2/9/2016 23:12,41.47461,-81.71182,41.47023,-81.74188,1.585,Between 41st St/Exit 169 and OH-10/Lorain Ave/Exit 167 - Accident.,,Northwest Fwy W,R,Cleveland,Cuyahoga,OH,44113,US,US/Eastern,KBKL,2/9/2016 17:13,30.9,18.7,92,29.62,1,West,19.6,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-42,2,2/9/2016 17:13,2/9/2016 17:13,2/9/2016 23:13,41.0618,-81.54608,41.06193,-81.54149,0.239,At OH-59/Exit 21 - Accident.,,I-76 E,R,Akron,Summit,OH,44307,US,US/Eastern,KAKR,2/9/2016 17:13,28.9,20.4,82,29.62,2.5,SW,9.2,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-43,4,2/9/2016 18:20,2/9/2016 18:20,2/10/2016 0:20,40.45112,-85.15048,40.35429,-85.14993,6.69,Closed between IN-26 and IN-67 - Road closed due to accident.,9001, W State Road 26,R,Dunkirk,Jay,IN,47336,US,US/Eastern,KMIE,2/9/2016 18:20,19.9,7.3,81,29.85,2,WNW,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-44,4,2/9/2016 18:20,2/9/2016 18:20,2/10/2016 0:20,40.35429,-85.14993,40.45112,-85.15048,6.69,Closed between IN-67 and IN-26 - Road closed due to accident.,473, N Meridian St,R,Redkey,Jay,IN,47373-9430,US,US/Eastern,KMIE,2/9/2016 18:20,19.9,7.3,81,29.85,2,WNW,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-45,4,2/9/2016 22:37,2/9/2016 22:37,2/10/2016 4:37,39.75855,-85.13715,39.74408,-85.13749,1,Closed between Lindsey Rd and Bentonville Rd - Road closed due to accident.,5149, S State Road 1,R,Milton,Wayne,IN,47357-9741,US,US/Eastern,KAID,2/9/2016 15:45,23,11.7,80,29.79,3,WNW,11.5,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-46,4,2/9/2016 22:37,2/9/2016 22:37,2/10/2016 4:37,39.74408,-85.13749,39.75855,-85.13715,1,Closed between Bentonville Rd and Lindsey Rd - Road closed due to accident.,6114, S State Road 1,L,Milton,Wayne,IN,47357,US,US/Eastern,KAID,2/9/2016 15:45,23,11.7,80,29.79,3,WNW,11.5,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-47,4,2/10/2016 6:17,2/10/2016 6:17,2/10/2016 12:17,39.965148,-83.020499,39.976605,-83.021071,0.792,Closed between US-33/Dublin Rd and Goodale St - Road closed due to accident.,,W Innerbelt N,R,Columbus,Franklin,OH,43215,US,US/Eastern,KCMH,2/10/2016 6:19,15.8,2.7,73,29.87,4,WSW,11.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-48,4,2/10/2016 6:18,2/10/2016 6:18,2/10/2016 12:18,40.72813,-84.78965,40.74559,-84.78962,1.206,Closed between Willshire and US-33/Rockford Rd - Road closed due to accident.,12998, State Route 49,R,Willshire,Van Wert,OH,45898-9523,US,US/Eastern,KFWA,2/10/2016 5:54,17.1,0.6,77,29.91,2.5,West,19.6,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-49,2,2/10/2016 6:29,2/10/2016 6:29,2/10/2016 12:29,39.85223,-85.25847,39.85227,-85.26282,0.231,At Wilbur Wright Rd/Exit 131 - Accident.,,I-70 W,R,Straughn,Henry,IN,47387,US,US/Eastern,KAID,2/10/2016 8:46,12.2,-1.8,85,29.97,2,West,11.5,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-50,2,2/10/2016 8:19,2/10/2016 8:19,2/10/2016 14:19,41.46747,-81.75909,41.47442,-81.71182,2.494,Between West Blvd/98th St/Exit 167 and 41st St/Exit 169 - Accident.,,I-90 E,R,Cleveland,Cuyahoga,OH,44111,US,US/Eastern,KCLE,2/10/2016 7:51,19.9,5.7,78,29.83,8,WSW,16.1,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-51,2,2/10/2016 8:35,2/10/2016 8:35,2/10/2016 14:35,41.83193,-80.10143,41.84149,-80.11099,0.824,Between Irish Rd and Blystone Rd - Accident.,25529, Highway 99,L,Cambridge Springs,Crawford,PA,16403,US,US/Eastern,KGKJ,2/10/2016 8:34,21,9.9,85,29.69,1,WSW,10.4,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-52,2,2/10/2016 8:44,2/10/2016 8:44,2/10/2016 14:44,39.744287,-84.204939,39.75052,-84.20541,0.431,At US-35/Albany St/Exit 52 - Accident.,,I-75 N,R,Dayton,Montgomery,OH,45417,US,US/Eastern,KDAY,2/10/2016 8:47,14,-2.5,84,29.92,3,West,17.3,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-53,3,2/10/2016 8:39,2/10/2016 8:39,2/10/2016 14:39,39.71548,-84.22033,39.71767,-84.21632,0.261,At Dryden Rd/Exit 50 - Accident.,,I-75 N,R,Dayton,Montgomery,OH,45439,US,US/Eastern,KMGY,2/10/2016 8:33,14,1.2,80,29.93,1.5,WSW,10.4,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
